Type,numbers,time,author,site,latitude_N,longitude_W,precipitation_mm,temperature_C,altitude,N_addition_type,N_addition_levels_kg_per_ha_per_yr,mesh_size,soil_fauna2,decomposition_time_days,litter_type,mass_loss,Mse,Mn,ind,Ise,In,Shannon,Sse,Sn
B,26,2021,Liu shen,Guangdong Province,24.22,113.05,1688,20.79,255,NH_4NO_3,50,2,,totall time,single,66.321,3.287,48,13294.1,1000,48,1.222,0.063,48
B,27,2013,A. Stuart Grandy,Michigan State,42.24,-85.24,890,12.305,,CO(NH_2)_2,0,1.4,,totall time,single,,,,476.544,,24,,,
B,27,2013,A. Stuart Grandy,Michigan State,42.24,-85.24,890,12.305,,CO(NH_2)_2,134,1.4,,totall time,single,,,,302.033,,24,,,
B,27,2013,A. Stuart Grandy,Michigan State,42.24,-85.24,890,12.305,,CO(NH_2)_2,291,1.4,,totall time,single,,,,273.783,,24,,,
B,28,1978,J. M. KELLY,eastern Tennessee,35.58,-84.19,67,15.8123,,CO(NH_2)_2,0,2,,totall time,single,46.373,,48,574,,48,,,
B,28,1978,J. M. KELLY,eastern Tennessee,35.58,-84.19,67,15.8123,,CO(NH_2)_2,550,2,,totall time,single,45.516,,48,445,,48,,,
B,28,1978,J. M. KELLY,eastern Tennessee,35.58,-84.19,67,15.8123,,CO(NH_2)_2,1100,2,,totall time,single,47.443,,48,411,,48,,,
B,29,2024,Carri J. LeRoy 1,Washington State,46.15,-122.1,417,12.97364,1070,NH_4NO_3+Na_4NO_3,0,4,,35,single,,,,57.537,,18,,,
B,29,2024,Carri J. LeRoy 1,Washington State,46.15,-122.1,417,12.97364,1070,NH_4NO_3+Na_4NO_3,16,4,,35,single,,,,338.87,,18,,,
B,30,2024,Jianni Sun,jiangxi,28.15,116.2,1537,17.5,,NH_4NO_3,0,2,,30,mixture,32.876,,5,60888,2667.6,2,1.659,0.066,2
B,30,2024,Jianni Sun,jiangxi,28.15,116.2,1537,17.5,,NH_4NO_3,90,2,,30,mixture,32.876,,5,40444,5778,2,1.864,0.016,2
B,30,2024,Jianni Sun,jiangxi,28.15,116.2,1537,17.5,,NH_4NO_3,0,2,,75,mixture,36.237,,5,21333,2222.6,2,1.847,0.033,2
B,30,2024,Jianni Sun,jiangxi,28.15,116.2,1537,17.5,,NH_4NO_3,90,2,,75,mixture,36.237,,5,16000,2666.7,2,1.79,0.033,2
B,30,2024,Jianni Sun,jiangxi,28.15,116.2,1537,17.5,,NH_4NO_3,0,2,,180,mixture,56.843,,5,16444,2222.7,2,1.989,0.072,2
B,30,2024,Jianni Sun,jiangxi,28.15,116.2,1537,17.5,,NH_4NO_3,90,2,,180,mixture,62.316,,5,28444,2222.7,2,2.004,0.016,2
